TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
RGF 1993 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Amersfoort To WGS 1984 2,565.04,49.91,465.84,-0.409394387,0.359705196,-1.868491,4.0772E-06,0,0,0
DHDN To WGS 1984 1,582,105,414,1.04,0.35,-3.08,0.0000083,0,0,0
Pulkovo 1942 Adj 1983 To WGS 1984 1,24,-123,-94,0.02,-0.25,-0.13,0.0000011,0,0,0
CH1903+ To WGS 1984 1,674.374,15.056,405.346,0,0,0,0,0,0,0
IRENET95 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 2,-40.595,-18.55,-69.339,2.508,1.832,-2.611,-0.000004299,0,0,0
South Yemen To WGS 1984 1,-76,-138,67,0,0,0,0,0,0,0
Tete To WGS 1984 1,-115.064,-87.39,-101.716,-0.058,4.001,-2.062,0.000009366,0,0,0
Tete To WGS 1984 2,-82.875,-57.097,-156.768,-2.158,1.524,-0.982,-0.000000359,0,0,0
Tete To WGS 1984 3,-138.527,-91.999,-114.591,-0.14,3.363,-2.217,0.000011748,0,0,0
Tete To WGS 1984 4,-73.472,-51.66,-112.482,0.953,4.6,-2.368,0.000000586,0,0,0
Tete To WGS 1984 5,219.315,168.975,-166.145,0.198,5.926,-2.356,-0.000057104,0,0,0
REGVEN To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
POSGAR 1998 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
DHDN To WGS 1984 2,598.1,73.7,418.2,0.202,0.045,-2.455,0.0000067,0,0,0
ED 1950 To WGS 1984 30,-84.1,-101.8,-129.7,0,0,0.468,0.00000105,0,0,0
